time [s],A_XX,A_YY,A_ZZ,E_XX,E_YY,E_ZZ,EPL,Sigma_XX,Sigma_Yield,Sigma_YY,Sigma_ZZ,SigmaVM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.99999999999983,0.0,0.0,0.0
0.1,0.0,0.0,0.0,-0.0002599431818203699,8.664772727384126e-05,3.017800033542735e-28,0.0,-30.500000000239805,299.99999999999983,5.076916664847891e-11,-7.6250000000472635,27.49232847566782
0.2,0.0,0.0,0.0,-0.000519953951667916,0.00017328794736944724,-1.1102230246238294e-16,0.0,-61.00925193590902,299.99999999999983,-0.003964820618592443,-15.253304189144123,54.989972546820574
0.30000000000000004,0.0,0.0,0.0,-0.0007798295454767255,0.00025994318183624073,-1.1102230246250602e-16,0.0,-91.50000000212798,299.99999999999983,1.4150610405670496e-09,-22.875000000190443,82.47698542923276
0.4,0.0,0.0,0.0,-0.0010397726921652362,0.00034659090782469956,1.9229626863849623e-16,0.0,-121.99999542151357,299.99999999999983,1.3775944905124385e-06,-30.499998510958623,109.96931082537458
0.5,0.0,0.0,0.0,-0.0012997834268627148,0.0004332311266347456,1.9229626863894832e-16,0.0,-152.50924277393358,299.99999999999983,-0.003962066158260093,-38.128301210001815,137.4669517956292
0.6,0.0,0.0,0.0,-0.0015598617847255298,0.0005198638395675059,-8.127396617476927e-17,0.0,-183.02774664278664,299.99999999999983,-0.01189170501567039,-45.75990958695952,164.96991148193504
0.7,0.0,0.0,0.0,-0.001819602272815488,0.0006065340909840598,4.1434087356333405e-16,0.0,-213.50000000831324,299.99999999999983,6.0366163043860986e-09,-53.37500000052361,192.44629934000085
0.7999999999999999,0.0,0.0,0.0,-0.0020794102435554938,0.000693196831317897,4.143408735641535e-16,0.0,-243.98149157130695,299.99999999999983,0.007931017549352364,-60.99339013839382,219.92799365250897
0.8999999999999999,0.0,0.0,0.0,-0.0023392857320194142,0.0007798520618725922,4.143408735668718e-16,0.0,-274.4722259041311,299.99999999999983,0.0118999583536444,-68.61508148639882,247.41499736326995
0.9999999999999999,0.0,0.0,0.0,-0.0025992287733078334,0.000866499783948244,1.8140762184344424e-16,0.0,-304.9722075828889,299.99999999999983,0.011905455644319798,-76.24007553179123,274.9073135104354
1.0999999999999999,0.0,0.0,0.0,-0.0023394886362688807,0.0007798295459823638,2.2204460492502657e-16,0.0,-274.49999996425913,299.99999999999983,7.384548800362072e-08,-68.62499997257898,247.43095630282937
1.2,0.0,0.0,0.0,-0.0020798159466506763,0.0006931517956353243,2.1115595813269495e-16,0.0,-244.037025949927,299.99999999999983,-0.015864628775732685,-61.0132226446525,219.95990252062782
1.3,0.0,0.0,0.0,-0.0018196022729258686,0.0006065340910761262,1.8859689485444225e-17,0.0,-213.5000000188694,299.99999999999983,1.326171880642573e-08,-53.37500000139991,192.44629935501445
1.4000000000000001,0.0,0.0,0.0,-0.0015594562927425484,0.0005199088832397719,1.88596894934351e-17,0.0,-182.97223977946862,299.99999999999983,0.011895706952223493,-45.74008601812709,164.9380212344342
1.5000000000000002,0.0,0.0,0.0,-0.0012997159091521747,0.0004332386364156017,5.848598485992484e-16,0.0,-152.5000000057921,299.99999999999983,4.160185363991986e-09,-38.12500000034372,137.46164238547638
1.6000000000000003,0.0,0.0,0.0,-0.001039772727311807,0.0003465909091241244,1.2023856376022295e-15,0.0,-122.00000000364847,299.99999999999983,2.7061883044127927e-09,-30.500000000103352,109.96931390704106
1.7000000000000004,0.0,0.0,0.0,-0.0007798970983701977,0.0002599356733536624,1.2023856376019616e-15,0.0,-91.50924735726242,299.99999999999983,-0.0039634455701828,-22.878302700575937,82.4822979328949
1.8000000000000005,0.0,0.0,0.0,-0.00051988636365855,0.0001732954545643774,1.2023856376023513e-15,0.0,-61.000000002042924,299.99999999999983,1.5544051338479828e-09,-15.249999999989907,54.98465695388954
1.9000000000000006,0.0,0.0,0.0,-0.00025994321695552993,8.664772859748538e-05,1.1726373013159866e-15,0.0,-30.500004579784175,299.99999999999983,-1.3711276141767873e-06,-7.625001487599,27.49233155783381
2.0000000000000004,0.0,0.0,0.0,-2.0946079900230354e-15,2.8537900184135717e-15,1.444254018266368e-15,0.0,-8.04283862084776e-11,299.99999999999983,3.4481709730204146e-10,2.2513940176100476e-10,3.727331926241775e-10
2.1000000000000005,0.0,0.0,0.0,0.00025994318181568263,-8.664772726995915e-05,1.446207536129769e-15,0.0,30.499999999875712,299.99999999999983,3.193876298320991e-10,7.6250000002078115,27.492328475013164
2.2000000000000006,0.0,0.0,0.0,0.0005198188107346268,-0.0001733029630221093,1.4353188893279057e-15,0.0,60.99075264408933,299.99999999999983,-0.003963446536421758,15.246697299546076,54.97934450106142
2.3000000000000007,0.0,0.0,0.0,0.0007798295454329248,-0.00025994318179863593,1.4244302425272476e-15,0.0,91.49999999809769,299.99999999999983,1.6846744377990832e-09,22.87500000010224,82.47698542319566
2.400000000000001,0.0,0.0,0.0,0.0010397726921217891,-0.0003465909077539075,1.1211116714267532e-15,0.0,121.99999541899577,299.99999999999983,-1.3701130266384365e-06,30.49999851234397,109.96931081735873
2.500000000000001,0.0,0.0,0.0,0.0012996482859304825,-0.0004332461421881838,1.1211116714269822e-15,0.0,152.49074348664212,299.99999999999983,-0.003966187856638497,38.12169432481964,137.4563237439749
2.600000000000001,0.0,0.0,0.0,0.001559456361961318,-0.0005199088864026314,1.1211116714275372e-15,0.0,182.972248777272,299.99999999999983,-0.011893078813369557,45.740088924737904,164.9380273403509
2.700000000000001,0.0,0.0,0.0,0.0018196022726393668,-0.0006065340908341931,1.1211116714264198e-15,0.0,213.49999999177993,299.99999999999983,6.046791253399581e-09,53.37499999957994,192.4462993158349
2.800000000000001,0.0,0.0,0.0,0.002079680525023506,-0.0006931667998415893,1.1617486545157595e-15,0.0,244.0184901101417,299.99999999999983,0.007925521962469824,61.00660390815375,219.94924969946288
2.9000000000000012,0.0,0.0,0.0,0.002339691154296821,-0.0007798070147255708,1.0100893689684146e-15,0.0,274.5277237193087,299.99999999999983,0.011884845300619748,68.63490214126335,247.44688144415082
3.0000000000000013,0.0,0.0,0.0,0.0025996341956160828,-0.0008664547367870131,8.475414366203928e-16,0.0,305.027705402751,299.99999999999983,0.011879351233441544,76.25989618858925,274.9391975930008
3.1000000000000014,0.0,0.0,0.0,0.0023394886364554155,-0.0007798295449152272,8.881784197000833e-16,0.0,274.5000000359274,299.99999999999983,7.525404972339832e-08,68.62500002789301,247.4309562536764
3.2000000000000015,0.0,0.0,0.0,0.002079275383971634,-0.0006932118563179376,8.88178419708486e-16,0.0,243.9630290063453,299.99999999999983,-0.015848139203488237,60.98679521688308,219.91739030987137
3.3000000000000016,0.0,0.0,0.0,0.001819602272529633,-0.0006065340907422585,9.288154027880127e-16,0.0,213.49999998132785,299.99999999999983,1.3337223365909042e-08,53.3749999987684,192.4462993008588
3.4000000000000017,0.0,0.0,0.0,0.0015598617134482654,-0.0005198638375511171,9.28815402802052e-16,0.0,183.02773732298868,299.99999999999983,0.011888834983955494,45.75990653959529,164.96990527011894
3.5000000000000018,0.0,0.0,0.0,0.0012997159090308876,-0.0004332386363121039,1.4948155619018676e-15,0.0,152.49999999445177,299.99999999999983,4.198723892005366e-09,38.12499999982701,137.46164236881543
3.600000000000002,0.0,0.0,0.0,0.0010397727272345864,-0.0003465909090577811,1.4948155619017876e-15,0.0,121.99999999652006,299.99999999999983,2.723092166834408e-09,30.499999999975195,109.9693138963924
3.700000000000002,0.0,0.0,0.0,0.0007797619574109834,-0.0002599506889821311,1.4948155619018335e-15,0.0,91.49074806312778,299.99999999999983,-0.00396481952271629,22.871695811065653,82.47166988346889
3.800000000000002,0.0,0.0,0.0,0.0005198863636157178,-0.00017329545452681046,1.4948155619019252e-15,0.0,60.99999999817817,299.99999999999983,1.5820803628570055e-09,15.250000000104452,54.98465694793143
3.900000000000002,0.0,0.0,0.0,0.0002599432169399838,-8.664772855069093e-05,1.3431562763515968e-15,0.0,30.500004579919967,299.99999999999983,1.3766925798945836e-06,7.625001489300843,27.492331553635022
4.0,0.0,0.0,0.0,-8.208770502316549e-16,2.373148882303336e-15,1.1935373932045273e-15,0.0,6.157123179192697e-11,299.99999999999983,3.0035472727870677e-10,2.215083501127187e-10,2.0317873340702542e-10
